Genotype,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT
Variety,WS-0 WT,WS-0 WT,WS-0 WT,WS-0 WT,WS-0 WT,WS-0 WT,WS-0 WT,WS-0 WT,WS-0 WT,WS-0 WT,WS-0 WT,WS-0 WT
Radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Background Earth,Background Earth,Background Earth,Cosmic radiation,Cosmic radiation,Cosmic radiation,Background Earth,Background Earth,Background Earth
Gravity,Microgravity,Microgravity,Microgravity,Terrestrial,Terrestrial,Terrestrial,Microgravity,Microgravity,Microgravity,Terrestrial,Terrestrial,Terrestrial
Developmental,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots
Time.series.or.Concentration.gradient,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point
Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light,Light
Assay..RNAseq.,RNAseq Transcription Profiling & methylation profiling,RNAseq Transcription Profiling & methylation profiling,RNAseq Transcription Profiling & methylation profiling,RNAseq Transcription Profiling & methylation profiling,RNAseq Transcription Profiling & methylation profiling,RNAseq Transcription Profiling & methylation profiling,RNAseq Transcription Profiling & methylation profiling,RNAseq Transcription Profiling & methylation profiling,RNAseq Transcription Profiling & methylation profiling,RNAseq Transcription Profiling & methylation profiling,RNAseq Transcription Profiling & methylation profiling,RNAseq Transcription Profiling & methylation profiling
Temperature,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24
Treatment.type,Epigenomics in an extraterrestrial environment: organ-specific alteration of DNA methylation and gene expression elicited by spaceflight in Arabidopsis thaliana,Epigenomics in an extraterrestrial environment: organ-specific alteration of DNA methylation and gene expression elicited by spaceflight in Arabidopsis thaliana,Epigenomics in an extraterrestrial environment: organ-specific alteration of DNA methylation and gene expression elicited by spaceflight in Arabidopsis thaliana,Epigenomics in an extraterrestrial environment: organ-specific alteration of DNA methylation and gene expression elicited by spaceflight in Arabidopsis thaliana,Epigenomics in an extraterrestrial environment: organ-specific alteration of DNA methylation and gene expression elicited by spaceflight in Arabidopsis thaliana,Epigenomics in an extraterrestrial environment: organ-specific alteration of DNA methylation and gene expression elicited by spaceflight in Arabidopsis thaliana,Epigenomics in an extraterrestrial environment: organ-specific alteration of DNA methylation and gene expression elicited by spaceflight in Arabidopsis thaliana,Epigenomics in an extraterrestrial environment: organ-specific alteration of DNA methylation and gene expression elicited by spaceflight in Arabidopsis thaliana,Epigenomics in an extraterrestrial environment: organ-specific alteration of DNA methylation and gene expression elicited by spaceflight in Arabidopsis thaliana,Epigenomics in an extraterrestrial environment: organ-specific alteration of DNA methylation and gene expression elicited by spaceflight in Arabidopsis thaliana,Epigenomics in an extraterrestrial environment: organ-specific alteration of DNA methylation and gene expression elicited by spaceflight in Arabidopsis thaliana,Epigenomics in an extraterrestrial environment: organ-specific alteration of DNA methylation and gene expression elicited by spaceflight in Arabidopsis thaliana
Treatment.intensity,x,x,x,x,x,x,x,x,x,x,x,x
Treament.timing,x,x,x,x,x,x,x,x,x,x,x,x
Preservation.Method.,RNAlater,RNAlater,RNAlater,RNAlater,RNAlater,RNAlater,RNAlater,RNAlater,RNAlater,RNAlater,RNAlater,RNAlater
