Analysis.Id,FLT_Rep1,FLT_Rep2,FLT_Rep3,GC_Rep1,GC_Rep2,GC_Rep3,LN2_Rep1,LN2_Rep2,LN2_Rep3,RNAlat_Rep1,RNAlat_Rep2,RNAlat_Rep3
Genotype,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT
Variety,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT
Radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth
Gravity,Microgravity,Microgravity,Microgravity,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial
Developmental,Etiolated 8 day old seedlings,Etiolated 8 day old seedlings,Etiolated 8 day old seedlings,Etiolated 8 day old seedlings,Etiolated 8 day old seedlings,Etiolated 8 day old seedlings,Etiolated 8 day old seedlings,Etiolated 8 day old seedlings,Etiolated 8 day old seedlings,Etiolated 8 day old seedlings,Etiolated 8 day old seedlings,Etiolated 8 day old seedlings
Time.series.or.Concentration.gradient,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point
Light,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark
Assay..RNAseq.,RNAseq Transcription and Proteomic Profiling,RNAseq Transcription and Proteomic Profiling,RNAseq Transcription and Proteomic Profiling,RNAseq Transcription and Proteomic Profiling,RNAseq Transcription and Proteomic Profiling,RNAseq Transcription and Proteomic Profiling,RNAseq Transcription and Proteomic Profiling,RNAseq Transcription and Proteomic Profiling,RNAseq Transcription and Proteomic Profiling,RNAseq Transcription and Proteomic Profiling,RNAseq Transcription and Proteomic Profiling,RNAseq Transcription and Proteomic Profiling
Temperature,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24
Treatment.type,Proteomics and Transcriptomics analysis of Arabidopsis Seedlings in Microgravity,Proteomics and Transcriptomics analysis of Arabidopsis Seedlings in Microgravity,Proteomics and Transcriptomics analysis of Arabidopsis Seedlings in Microgravity,Proteomics and Transcriptomics analysis of Arabidopsis Seedlings in Microgravity,Proteomics and Transcriptomics analysis of Arabidopsis Seedlings in Microgravity,Proteomics and Transcriptomics analysis of Arabidopsis Seedlings in Microgravity,Proteomics and Transcriptomics analysis of Arabidopsis Seedlings in Microgravity,Proteomics and Transcriptomics analysis of Arabidopsis Seedlings in Microgravity,Proteomics and Transcriptomics analysis of Arabidopsis Seedlings in Microgravity,Proteomics and Transcriptomics analysis of Arabidopsis Seedlings in Microgravity,Proteomics and Transcriptomics analysis of Arabidopsis Seedlings in Microgravity,Proteomics and Transcriptomics analysis of Arabidopsis Seedlings in Microgravity
Treatment.intensity,X,X,X,X,X,X,X,X,X,X,X,X
Treament.timing,X,X,X,X,X,X,X,X,X,X,X,X
Preservation.Method.,RNAlater,RNAlater,RNAlater,RNAlater,RNAlater,RNAlater,Liquid Nitrogen,Liquid Nitrogen,Liquid Nitrogen,RNAlater,RNAlater,RNAlater
