"ensembl_gene_id","band","chromosome_name","start_position","percentage_gc_content","transcript_count","gene_biotype","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons","symbol"
"AT3G04535",NA,"3",8464538,37.88,1,"ncRNA",263,"","","","","",""
"AT4G30872",NA,"4",15032978,43.01,1,"ncRNA",278,"","","","","",""
"AT3G07485",NA,"3",17171530,33.76,1,"ncRNA",387,"","","","","",""
"AT3G03065",NA,"3",5132771,47.74,1,"ncRNA",198,"","","","","",""
"AT5G33439",NA,"5",12738898,56.19,1,"ncRNA",314,"","","","","",""
"AT3G05215",NA,"3",10059452,35.28,1,"ncRNA",495,"","","","","",""
"AT5G05295",NA,"5",13908356,46.23,1,"ncRNA",198,"","","","","",""
"AT3G61198",NA,"3",22655884,42.18,1,"ncRNA",715,"","","","","",""
"AT5G22788",NA,"5",7602913,33.22,1,"ncRNA",586,"","","","","",""
"AT1G70581",NA,"1",26616267,34.52,1,"ncRNA",729,"","","","","",""
"AT4G30975",NA,"4",15074425,34.23,3,"ncRNA",3651,"","","","","",""
"AT1G58808",NA,"1",21784645,32.22,1,"ncRNA",2224,"","","","","",""
"AT3G04485",NA,"3",1198114,35.51,1,"ncRNA",1990,"","","","","",""
"AT3G08410",NA,"3",20187985,38.01,1,"ncRNA",391,"","","","","",""
"AT5G23410",NA,"5",7885591,40.42,1,"ncRNA",1194,"","","","","",""
"AT4G05365",NA,"4",5156471,32.61,1,"ncRNA",413,"","","","","",""
"AT5G43725",NA,"5",17559541,38.48,2,"ncRNA",4682,"","","","","",""
"AT1G25175",NA,"1",8826983,36.11,5,"ncRNA",2699,"","","","","",""
"AT1G11592",NA,"1",3895179,42.48,2,"ncRNA",1755,"","","","","",""
"AT4G26255",NA,"4",13293941,31.37,1,"ncRNA",2524,"","","","","",""
"AT2G09155",NA,"2",16893239,39.7,1,"ncRNA",198,"","","","","",""
"AT1G70185",NA,"1",26429733,36.5,1,"ncRNA",336,"","","","","",""
"AT4G23205",NA,"4",12144243,39.25,1,"ncRNA",715,"","","","","",""
"AT4G08035",NA,"4",4866554,35.36,2,"ncRNA",1789,"","","","","",""
"AT1G26235",NA,"1",9076447,35.71,1,"ncRNA",125,"","","","","",""
"AT1G34418",NA,"1",12582122,35.17,1,"ncRNA",599,"","","","","",""
"AT3G57157",NA,"3",21157011,45.57,1,"ncRNA",236,"","","","","",""
"AT1G08823",NA,"1",24712212,36.68,1,"ncRNA",198,"","","","","",""
"AT4G40065",NA,"4",18574503,38.04,1,"ncRNA",1082,"","","","","",""
"AT1G64572",NA,"1",23984011,38.34,1,"ncRNA",784,"","","","","",""
"AT3G60238",NA,"3",22259085,41.71,1,"ncRNA",759,"","","","","",""
"AT5G28262",NA,"5",10238550,34.72,1,"ncRNA",1223,"","","","","",""
"AT2G39681",NA,"2",16539384,33.95,1,"ncRNA",1033,"","","","","",""
"AT4G05940",NA,"4",7216400,41.21,1,"ncRNA",198,"","","","","",""
"AT4G04315",NA,"4",2095259,33.02,1,"ncRNA",1259,"","","","","",""
"AT5G02135",NA,"5",4520185,34.43,1,"ncRNA",243,"","","","","",""
"AT5G34871",NA,"5",13085037,35.64,1,"ncRNA",1528,"","","","","",""
"AT5G38005",NA,"5",15155067,36.69,1,"ncRNA",1021,"","","","","",""
"AT4G39404",NA,"4",18329734,54.12,1,"ncRNA",278,"","","","","",""
"AT2G42388",NA,"2",17650225,37.49,1,"ncRNA",858,"","","","","",""
"AT1G31935",NA,"1",11469482,36.11,1,"ncRNA",528,"","","","","",""
"AT2G07975",NA,"2",10297846,35.48,1,"ncRNA",636,"","","","","",""
"AT2G07575",NA,"2",9495178,37.69,1,"ncRNA",198,"","","","","",""
"AT5G43403",NA,"5",17430539,35.21,1,"ncRNA",1226,"","","","","",""
"AT3G05185",NA,"3",10035930,42.71,1,"ncRNA",198,"","","","","",""
"AT1G11175",NA,"1",3744858,40.85,1,"ncRNA",797,"","","","","",""
"AT5G37485",NA,"5",14886193,36.09,1,"ncRNA",786,"","","","","",""
"AT1G49952",NA,"1",18492026,36.28,1,"ncRNA",1231,"","","","","",""
"AT3G59765",NA,"3",22075815,31.61,3,"ncRNA",2546,"","","","","",""
"AT3G07635",NA,"3",17344712,37.56,1,"ncRNA",401,"","","","","",""
"AT3G03695",NA,"3",6344092,40,1,"ncRNA",319,"","","","","",""
"AT4G03811",NA,"4",1756584,33.27,1,"ncRNA",513,"","","","","",""
"AT2G18735",NA,"2",8122119,38.83,1,"ncRNA",957,"","","","","",""
"AT1G66173",NA,"1",24642586,32.3,1,"ncRNA",1482,"","","","","",""
"AT1G58590",NA,"1",21742944,33.76,2,"ncRNA",947,"","","","","",""
"AT1G49832",NA,"1",18447615,38.28,2,"ncRNA",720,"","","","","",""
"AT1G21529",NA,"1",7543924,40.93,1,"ncRNA",754,"","","","","",""
"AT1G09583",NA,"1",28470024,40.52,1,"ncRNA",268,"","","","","",""
"AT4G13495",NA,"4",7842967,32.12,2,"ncRNA",3807,"","","","","",""
"AT3G17185",NA,"3",5861491,32.21,2,"ncRNA",946,"","","","","",""
"AT2G15555",NA,"2",6785904,42.87,1,"ncRNA",1072,"","","","","",""
"AT1G55525",NA,"1",20728329,37.89,1,"ncRNA",416,"","","","","",""
"AT1G05813",NA,"1",8305917,31.66,1,"ncRNA",198,"","","","","",""
"AT1G07257",NA,"1",16812746,40.2,1,"ncRNA",198,"","","","","",""
"AT4G14548",NA,"4",8347010,32.05,1,"ncRNA",754,"","","","","",""
"AT5G28824",NA,"5",10842660,34.78,1,"ncRNA",3096,"","","","","",""
"AT3G13277",NA,"3",4290082,38.71,1,"ncRNA",1513,"","","","","",""
"AT1G77138",NA,"1",28982766,40.62,1,"ncRNA",703,"","","","","",""
"AT1G64618",NA,"1",24005900,41.5,1,"ncRNA",493,"","","","","",""
"AT1G70518",NA,"1",26583570,37.58,1,"ncRNA",1114,"","","","","",""
"AT5G08575",NA,"5",22880926,37.69,1,"ncRNA",198,"","","","","",""
"AT2G44995",NA,"2",18562102,35,1,"ncRNA",1576,"","","","","",""
"AT1G50055",NA,"1",18549204,34.21,1,"ncRNA",838,"","","","","",""
"AT3G14185",NA,"3",4709272,30.76,1,"ncRNA",542,"","","","","",""
"AT1G23052",NA,"1",8168443,41.09,1,"ncRNA",824,"","","","","",""
"AT4G02005",NA,"4",876876,32.46,6,"ncRNA",2898,"","","","","",""
"AT1G34392",NA,"1",12560460,30.61,1,"ncRNA",855,"","","","","",""
"AT2G30945",NA,"2",13172342,34.9,3,"ncRNA",1641,"","","","","",""
"AT2G14878",NA,"2",6392167,42.24,1,"ncRNA",875,"","","","","",""
"AT4G15242",NA,"4",8705787,46.16,1,"ncRNA",1210,"","","","","",""
"AT3G46614",NA,"3",17169402,32.93,1,"ncRNA",1642,"","","","","",""
"AT1G33615",NA,"1",12192651,33.07,6,"ncRNA",4369,"","","","","",""
"AT5G49615",NA,"5",20134200,33.22,1,"ncRNA",586,"","","","","",""
"AT4G16748",NA,"4",9417058,28.4,1,"ncRNA",3591,"","","","","",""
"AT4G12917",NA,"4",7563157,34.88,1,"ncRNA",690,"","","","","",""
"AT4G10507",NA,"4",6494707,33.47,1,"ncRNA",504,"","","","","",""
"AT3G07215",NA,"3",2296036,34.83,4,"ncRNA",1753,"","","","","",""
"AT5G08125",NA,"5",21973835,33.9,1,"ncRNA",294,"","","","","",""
"AT2G05518",NA,"2",2023295,33.24,1,"ncRNA",700,"","","","","",""
"AT3G41761",NA,"3",14195917,52.47,1,"ncRNA",161,"","","","","",""
"AT3G06962",NA,"3",2197123,48.1,1,"ncRNA",209,"","","","","",""
"AT3G05152",NA,"3",1443967,33.1,1,"ncRNA",1120,"","","","","",""
"AT1G08253",NA,"1",21859041,33.33,1,"ncRNA",272,"","","","","",""
"AT3G44765",NA,"3",16311975,33.95,1,"ncRNA",2052,"","","","","",""
"AT3G15536",NA,"3",5260723,32.67,1,"ncRNA",599,"","","","","",""
"AT2G06562",NA,"2",2617554,39.88,1,"ncRNA",1619,"","","","","",""
"AT1G09073",NA,"1",26183486,34.17,1,"ncRNA",198,"","","","","",""
"AT2G15292",NA,"2",6644281,42.54,1,"ncRNA",1252,"","","","","",""
"AT4G04223",NA,"4",2036511,34.23,2,"ncRNA",1305,"","","","","",""
"AT1G07507",NA,"1",18079156,37.69,1,"ncRNA",198,"","","","","",""
"AT5G06955",NA,"5",19140798,34.17,1,"ncRNA",198,"","","","","",""
"AT1G46554",NA,"1",17252952,38.24,1,"ncRNA",951,"","","","","",""
"AT2G06002",NA,"2",2330776,34.52,1,"ncRNA",703,"","","","","",""
"AT5G33399",NA,"5",12680935,40.81,1,"ncRNA",1185,"","","","","",""
"AT1G50659",NA,"1",18770937,45.88,1,"ncRNA",993,"","","","","",""
"AT3G12965",NA,"3",4136961,34.87,1,"ncRNA",713,"","","","","",""
"AT1G05697",NA,"1",7739737,42.21,1,"ncRNA",198,"","","","","",""
"AT3G26612",NA,"3",9781983,35.03,1,"ncRNA",1429,"","","","","",""
"AT1G04867",NA,"1",3943179,36.51,1,"ncRNA",251,"","","","","",""
"AT2G08610",NA,"2",14287178,37.4,1,"ncRNA",245,"","","","","",""
"AT3G27884",NA,"3",10346086,33.55,3,"ncRNA",2196,"","","","","",""
"AT2G27400",NA,"2",11721539,33.76,1,"ncRNA",929,"","","","","",""
"AT1G52347",NA,"1",19496461,34.29,2,"ncRNA",1259,"","","","","",""
"AT1G64563",NA,"1",23975085,34.17,1,"ncRNA",3250,"","","","","",""
"AT2G24735",NA,"2",10528064,35.29,1,"ncRNA",5823,"","","","","",""
"AT2G21188",NA,"2",9079042,41.05,1,"ncRNA",496,"","","","","",""
"AT3G06125",NA,"3",1848848,30.65,3,"ncRNA",1748,"","","","","",""
"AT2G32795",NA,"2",13909423,36.63,1,"ncRNA",1487,"","","","","",""
"AT4G06701",NA,"4",3939266,34.99,5,"ncRNA",1531,"","","","","",""
"AT4G31408",NA,"4",15241687,36.28,3,"ncRNA",1300,"","","","","",""
"AT3G53365",NA,"3",19787255,36.83,1,"ncRNA",447,"","","","","",""
"AT1G06797",NA,"1",12767251,41.07,1,"ncRNA",503,"","","","","",""
"AT5G40316",NA,"5",16119296,42.46,1,"ncRNA",722,"","","","","",""
"AT2G43375",NA,"2",18017116,35.41,1,"ncRNA",1575,"","","","","",""
"AT2G09475",NA,"2",18044316,38.44,1,"ncRNA",462,"","","","","",""
"AT1G43765",NA,"1",16537511,35.11,1,"ncRNA",580,"","","","","",""
"AT3G61118",NA,"3",22616581,32.47,1,"ncRNA",846,"","","","","",""
"AT5G45475",NA,"5",18425837,41.69,1,"ncRNA",1179,"","","","","",""
"AT2G05685",NA,"2",4963770,37.42,1,"ncRNA",448,"","","","","",""
"AT2G07042",NA,"2",2919953,34.87,1,"ncRNA",2296,"","","","","",""
"AT1G16635",NA,"1",5685503,32.1,1,"ncRNA",865,"","","","","",""
"AT2G07405",NA,"2",9090639,36.68,1,"ncRNA",198,"","","","","",""
"AT2G22482",NA,"2",9549649,38.07,1,"ncRNA",435,"","","","","",""
"AT2G18440",NA,"2",7994941,35.97,2,"ncRNA",2298,"","","","","",""
"AT1G11185",NA,"1",3749510,34.98,1,"ncRNA",525,"","","","","",""
"AT4G05905",NA,"4",7023836,33.17,1,"ncRNA",198,"","","","","",""
"AT5G00885",NA,"5",660151,46.76,1,"ncRNA",292,"","","","","",""
"AT1G05547",NA,"1",7050831,40,1,"ncRNA",309,"","","","","",""
"AT5G44569",NA,"5",17963286,40.28,1,"ncRNA",704,"","","","","",""
"AT2G39675",NA,"2",16537288,35.25,1,"ncRNA",989,"","","","","",""
"AT1G08493",NA,"1",23006714,43.72,1,"ncRNA",198,"","","","","",""
"AT1G09277",NA,"1",27073231,39.3,1,"ncRNA",373,"","","","","",""
"AT1G22403",NA,"1",7908568,39.35,2,"ncRNA",1140,"","","","","",""
"AT3G55485",NA,"3",20571434,31.49,1,"ncRNA",504,"","","","","",""
"AT5G48412",NA,"5",19623516,39.75,1,"ncRNA",716,"","","","","",""
"AT3G60972",NA,"3",22561916,36.91,1,"ncRNA",660,"","","","","",""
"AT2G09365",NA,"2",17626644,36.68,1,"ncRNA",198,"","","","","",""
"AT4G16355",NA,"4",9244066,35.99,1,"ncRNA",588,"","","","","",""
"AT4G03038",NA,"4",1340115,32.94,1,"ncRNA",1174,"","","","","",""
"AT1G67105",NA,"1",25057479,41.35,1,"ncRNA",785,"","","","","",""
"AT2G41312",NA,"2",17225523,33.3,2,"ncRNA",1170,"","","","","",""
"AT3G18362",NA,"3",6302112,35.93,2,"ncRNA",2345,"","","","","",""
"AT2G04705",NA,"2",1319421,42.21,1,"ncRNA",198,"","","","","",""
"AT1G52615",NA,"1",19600531,40.88,2,"ncRNA",1814,"","","","","",""
"AT2G30115",NA,"2",12858462,36.59,1,"ncRNA",1680,"","","","","",""
"AT5G07322",NA,"5",2313119,36.85,1,"ncRNA",444,"","","","","",""
"AT5G06165",NA,"5",1867197,33.4,1,"ncRNA",1047,"","","","","",""
"AT5G02825",NA,"5",5952458,33.99,1,"ncRNA",458,"","","","","",""
"AT5G57735",NA,"5",23394005,30.65,1,"ncRNA",495,"","","","","",""
"AT1G57835",NA,"1",21422460,35.4,1,"ncRNA",886,"","","","","",""
"AT1G68872",NA,"1",25889284,36,4,"ncRNA",2466,"","","","","",""
"AT5G50190",NA,"5",20433507,34.52,1,"ncRNA",1036,"","","","","",""
"AT3G54366",NA,"3",20132886,41.04,1,"ncRNA",864,"","","","","",""
"AT1G69252",NA,"1",26036570,37.89,2,"ncRNA",1089,"","","","","",""
"AT2G31585",NA,"2",13446002,37.5,2,"ncRNA",727,"","","","","",""
"AT2G46192",NA,"2",18973307,37.61,1,"ncRNA",826,"","","","","",""
"AT2G01422",NA,"2",183940,37.86,2,"ncRNA",794,"","","","","",""
"AT2G05995",NA,"2",2325776,41.78,1,"ncRNA",1100,"","","","","",""
"AT3G41768",NA,"3",14197677,49.28,1,"rRNA",1807,"","","","","",""
"AT4G03935",NA,"4",1868783,34.3,3,"ncRNA",932,"","","","","",""
"ATCG00950",NA,"Pt",104691,55.16,1,"rRNA",2809,"","","","","",""
"ATCG01180",NA,"Pt",131149,55.16,1,"rRNA",2809,"","","","","",""
"AT3G41979",NA,"3",14199753,53.66,1,"rRNA",163,"","","","","",""
"ATMG00020",NA,"Mt",8848,51.32,1,"rRNA",2567,"","","","","",""
"AT2G01020",NA,"2",5782,53.66,1,"rRNA",163,"","","","","",""
"ATCG01170",NA,"Pt",130948,50.49,1,"rRNA",102,"","","","","",""
"ATCG00920",NA,"Pt",101012,56.47,1,"rRNA",1490,"","","","","",""
"ATMG01390",NA,"Mt",361350,53.44,1,"rRNA",1934,"","","","","",""
"ATCG01210",NA,"Pt",136147,56.47,1,"rRNA",1490,"","","","","",""
"ATCG01160",NA,"Pt",130580,51.24,1,"rRNA",120,"","","","","",""
"ATCG00970",NA,"Pt",107949,51.24,1,"rRNA",120,"","","","","",""
"ATMG01380",NA,"Mt",361062,53.39,1,"rRNA",117,"","","","","",""
"AT2G01010",NA,"2",3706,49.17,1,"rRNA",1807,"","","","","",""
"ATCG00960",NA,"Pt",107599,50.49,1,"rRNA",102,"","","","","",""
"AT4G18725",NA,"4",10302001,60.27,1,"tRNA",72,"","","","","",""
"AT1G61910",NA,"1",22887090,53.75,1,"tRNA",79,"","","","","",""
"AT1G56940",NA,"1",21279390,57.32,1,"tRNA",81,"","","","","",""
"ATMG00800",NA,"Mt",227616,50,1,"tRNA",71,"","","","","",""
"AT3G63003",NA,"3",23285593,60.27,1,"tRNA",72,"","","","","",""
"AT1G56990",NA,"1",21281710,49.41,1,"tRNA",84,"","","","","",""
"AT2G45020",NA,"2",18569911,54.79,1,"tRNA",72,"","","","","",""
"AT5G02505",NA,"5",559330,55.56,1,"tRNA",71,"","","","","",""
"AT1G10440",NA,"1",3431185,56.94,1,"tRNA",71,"","","","","",""
"AT3G46585",NA,"3",17149752,55.56,1,"tRNA",71,"","","","","",""
"AT1G61880",NA,"1",22866758,56.94,1,"tRNA",71,"","","","","",""
"AT1G05980",NA,"1",1817400,54.17,1,"tRNA",71,"","","","","",""
"AT2G22220",NA,"2",9449809,51.35,1,"tRNA",73,"","","","","",""
"AT1G57170",NA,"1",21290903,51.76,1,"tRNA",84,"","","","","",""
"AT1G48080",NA,"1",17731841,63.01,1,"tRNA",72,"","","","","",""
"AT1G60580",NA,"1",22313414,59.15,1,"tRNA",70,"","","","","",""
"AT2G17810",NA,"2",7742712,55.41,1,"tRNA",73,"","","","","",""
"AT4G16465",NA,"4",9287209,45.95,1,"tRNA",73,"","","","","",""
"AT3G05835",NA,"3",1738791,62.16,1,"tRNA",73,"","","","","",""
"AT1G80430",NA,"1",30237784,58.54,1,"tRNA",81,"","","","","",""
"AT5G58495",NA,"5",23644711,51.22,1,"tRNA",81,"","","","","",""
"AT1G60910",NA,"1",22428167,57.75,1,"tRNA",70,"","","","","",""
"AT1G56760",NA,"1",21270296,58.54,1,"tRNA",81,"","","","","",""
"AT5G09345",NA,"5",2898867,55.95,1,"tRNA",83,"","","","","",""
"AT5G49435",NA,"5",20046823,55.56,1,"tRNA",71,"","","","","",""
"AT1G09110",NA,"1",2939417,59.72,1,"tRNA",71,"","","","","",""
"AT1G74610",NA,"1",28027960,54.32,1,"tRNA",80,"","","","","",""
"AT5G43535",NA,"5",17495541,59.15,1,"tRNA",70,"","","","","",""
"AT2G30850",NA,"2",13137236,57.53,1,"tRNA",72,"","","","","",""
"AT1G56970",NA,"1",21280922,58.54,1,"tRNA",81,"","","","","",""
"AT1G04720",NA,"1",1324923,60,1,"tRNA",84,"","","","","",""
"AT5G27715",NA,"5",9815402,59.72,1,"tRNA",71,"","","","","",""
"AT3G51265",NA,"3",19033393,61.11,1,"tRNA",71,"","","","","",""
"AT5G35605",NA,"5",13805982,54.79,1,"tRNA",72,"","","","","",""
"AT1G13010",NA,"1",4440214,53.42,1,"tRNA",72,"","","","","",""
"ATCG00880",NA,"Pt",94276,51.85,1,"tRNA",80,"","","","","",""
"AT2G16240",NA,"2",7039094,47.22,1,"tRNA",71,"","","","","",""
"ATCG00410",NA,"Pt",48175,50.68,1,"tRNA",72,"","","","","",""
"AT1G45238",NA,"1",17158531,55.56,1,"tRNA",71,"","","","","",""
"AT3G16552",NA,"3",5632852,61.64,1,"tRNA",72,"","","","","",""
"AT5G14495",NA,"5",4673900,61.11,1,"tRNA",71,"","","","","",""
"AT1G57370",NA,"1",21300432,49.41,1,"tRNA",84,"","","","","",""
"AT1G57480",NA,"1",21306055,53.66,1,"tRNA",81,"","","","","",""
"AT4G03135",NA,"4",1390895,54.17,1,"tRNA",71,"","","","","",""
"AT2G35220",NA,"2",14840607,60,1,"tRNA",84,"","","","","",""
"ATMG09450",NA,"Mt",47103,46.25,1,"tRNA",79,"","","","","",""
"AT3G02315",NA,"3",469660,55.41,1,"tRNA",73,"","","","","",""
"AT1G56980",NA,"1",21281252,52.94,1,"tRNA",84,"","","","","",""
"AT1G70050",NA,"1",26382154,54.17,1,"tRNA",71,"","","","","",""
"AT3G30345",NA,"3",11959167,63.01,1,"tRNA",72,"","","","","",""
"AT5G66568",NA,"5",26568397,55.41,1,"tRNA",73,"","","","","",""
"AT1G28730",NA,"1",10089898,54.17,1,"tRNA",71,"","","","","",""
"ATMG00420",NA,"Mt",112953,50.57,1,"tRNA",86,"","","","","",""
"AT4G25435",NA,"4",13006234,63.01,1,"tRNA",72,"","","","","",""
"AT3G12585",NA,"3",3995097,52.05,1,"tRNA",72,"","","","","",""
"AT3G52285",NA,"3",19392674,54.17,1,"tRNA",71,"","","","","",""
"AT3G18815",NA,"3",6483940,51.35,1,"tRNA",73,"","","","","",""
"AT5G07625",NA,"5",2411148,55.95,1,"tRNA",83,"","","","","",""
"AT1G45246",NA,"1",17162022,55.56,1,"tRNA",71,"","","","","",""
"AT4G16475",NA,"4",9289685,54.32,1,"tRNA",80,"","","","","",""
"AT1G08870",NA,"1",2846536,60.27,1,"tRNA",72,"","","","","",""
"AT3G15585",NA,"3",5275149,58.9,1,"tRNA",72,"","","","","",""
"AT1G56830",NA,"1",21273649,51.76,1,"tRNA",84,"","","","","",""
"AT1G73900",NA,"1",27788983,61.11,1,"tRNA",71,"","","","","",""
"AT4G39615",NA,"4",18395028,56.94,1,"tRNA",71,"","","","","",""
"AT4G24025",NA,"4",12486202,56.34,1,"tRNA",70,"","","","","",""
"AT1G07760",NA,"1",2406834,55.56,1,"tRNA",71,"","","","","",""
"AT5G56745",NA,"5",22955841,58.33,1,"tRNA",71,"","","","","",""
"AT1G57140",NA,"1",21289368,52.94,1,"tRNA",84,"","","","","",""
"AT4G31695",NA,"4",15345712,58.82,1,"tRNA",84,"","","","","",""
"AT1G22320",NA,"1",7884370,60,1,"tRNA",84,"","","","","",""
"AT5G59945",NA,"5",24139946,54.05,1,"tRNA",73,"","","","","",""
"AT1G16450",NA,"1",5619471,65.75,1,"tRNA",72,"","","","","",""
"AT1G59880",NA,"1",22040612,56.94,1,"tRNA",71,"","","","","",""
"AT1G28820",NA,"1",10096951,52.78,1,"tRNA",71,"","","","","",""
"AT1G49690",NA,"1",18387802,58.9,1,"tRNA",72,"","","","","",""
"AT1G57060",NA,"1",21285519,58.54,1,"tRNA",81,"","","","","",""
"AT1G63510",NA,"1",23559187,59.72,1,"tRNA",71,"","","","","",""
"AT5G15815",NA,"5",5161512,61.11,1,"tRNA",71,"","","","","",""
"AT1G68950",NA,"1",25928196,58.9,1,"tRNA",72,"","","","","",""
"AT1G28900",NA,"1",10101028,55.56,1,"tRNA",71,"","","","","",""
"ATCG01290",NA,"Pt",152264,45.95,1,"tRNA",73,"","","","","",""
"AT4G39195",NA,"4",18254989,52.38,1,"tRNA",83,"","","","","",""
"AT1G57300",NA,"1",21297221,58.54,1,"tRNA",81,"","","","","",""
"AT2G15950",NA,"2",6946791,48.31,1,"tRNA",88,"","","","","",""
"ATCG00060",NA,"Pt",6616,59.72,1,"tRNA",71,"","","","","",""
"AT5G63145",NA,"5",25330036,54.17,1,"tRNA",71,"","","","","",""
"AT2G36510",NA,"2",15320234,55.42,1,"tRNA",82,"","","","","",""
"AT4G28915",NA,"4",14267281,58.54,1,"tRNA",81,"","","","","",""
"AT2G25400",NA,"2",10813839,52.05,1,"tRNA",72,"","","","","",""
"AT1G45240",NA,"1",17158979,55.56,1,"tRNA",71,"","","","","",""
"AT5G11475",NA,"5",3669000,58.9,1,"tRNA",72,"","","","","",""
"AT1G74570",NA,"1",28020383,51.85,1,"tRNA",80,"","","","","",""
"AT5G23665",NA,"5",7981398,52.78,1,"tRNA",71,"","","","","",""
"AT2G02600",NA,"2",706796,58.9,1,"tRNA",72,"","","","","",""
"AT2G33660",NA,"2",14244699,61.11,1,"tRNA",71,"","","","","",""
"ATMG00340",NA,"Mt",104221,46.67,1,"tRNA",74,"","","","","",""
"AT5G53487",NA,"5",21723114,56.34,1,"tRNA",70,"","","","","",""
"AT1G01870",NA,"1",306384,53.42,1,"tRNA",72,"","","","","",""
"AT5G02385",NA,"5",508430,63.01,1,"tRNA",72,"","","","","",""
"AT4G31075",NA,"4",15120650,53.42,1,"tRNA",72,"","","","","",""
"AT4G32475",NA,"4",15671393,59.15,1,"tRNA",70,"","","","","",""
