Analysis. Id,Col0_FLT_Rep1,Col0_FLT_Rep2,Col0_FLT_Rep3,Col0_FLT_Rep4,Col0_FLT_Rep5,Col0_FLT_Rep6,Col0_FLT_Rep7,Col0_FLT_Rep8,Col0_GC_Rep1,Col0_GC_Rep2,Col0_GC_Rep3,Col0_GC_Rep4,Col0_GC_Rep5,Col0_GC_Rep6,Col0_GC_Rep7,Col0_GC_Rep8,Cvi0_FLT_Rep1,Cvi0_FLT_Rep2,Cvi0_FLT_Rep3,Cvi0_FLT_Rep4,Cvi0_FLT_Rep5,Cvi0_FLT_Rep6,Cvi0_GC_Rep1,Cvi0_GC_Rep2,Cvi0_GC_Rep3,Cvi0_GC_Rep4,Cvi0_GC_Rep5,Cvi0_GC_Rep6,Ler0_FLT_Rep1,Ler0_FLT_Rep2,Ler0_FLT_Rep3,Ler0_FLT_Rep4,Ler0_FLT_Rep5,Ler0_FLT_Rep6,Ler0_GC_Rep1,Ler0_GC_Rep2,Ler0_GC_Rep3,Ler0_GC_Rep4,Ler0_GC_Rep5,Ler0_GC_Rep6,Ws2_FLT_Rep1,Ws2_FLT_Rep2,Ws2_FLT_Rep3,Ws2_FLT_Rep4,Ws2_FLT_Rep5,Ws2_FLT_Rep6,Ws2_FLT_Rep7,Ws2_FLT_Rep8,Ws2_GC_Rep1,Ws2_GC_Rep2,Ws2_GC_Rep3,Ws2_GC_Rep4,Ws2_GC_Rep5,Ws2_GC_Rep6,Ws2_GC_Rep7,Ws2_GC_Rep8
Genotype,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT
Variety,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Cvi-0 WT,Cvi-0 WT,Cvi-0 WT,Cvi-0 WT,Cvi-0 WT,Cvi-0 WT,Cvi-0 WT,Cvi-0 WT,Cvi-0 WT,Cvi-0 WT,Cvi-0 WT,Cvi-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,Ler-0 WT,WS-2 WT,WS-2 WT,WS-2 WT,WS-2 WT,WS-2 WT,WS-2 WT,WS-2 WT,WS-2 WT,WS-2 WT,WS-2 WT,WS-2 WT,WS-2 WT,WS-2 WT,WS-2 WT,WS-2 WT,WS-2 WT
Radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth
Gravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial
Developmental,8 days old Seedlings,8 days old Seedlings,8 days old Seedlings,8 days old Seedlings,8 days old Seedlings,8 days old Seedlings,8 days old Seedlings,8 days old Seedlings,8 days old Seedlings,8 days old Seedlings,8 days old Seedlings,8 days old Seedlings,8 days old Seedlings,8 days old Seedlings,8 days old Seedlings,8 days old Seedlings,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture
Time.series.or.Concentration.gradient,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point
Light,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark
Assay..RNAseq.,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling,RNAseq Transcription Profiling
Temperature,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS,Ambient ISS
Treatment.type,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight
Treatment.intensity,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Treament.timing,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,Full Flight,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Preservation.Method.,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later,RNA later
