Genotype,atm1-1,atm1-1,atm1-1,atm1-1,atm1-1,atm1-1,WT,WT,atm1-1,WT,atm1-1,atm1-1,WT,WT,atm1-1,WT,atm1-1,atm1-1,WT,WT,atm1-1,atm1-1,WT,atm1-1,WT,atm1-1,WT,WT,atm1-1,WT,WT,WT,atm1-1,WT,atm1-1,WT,WT,WT,WT,atm1-1,WT,WT,WT,WT
Variety,WS-0 atm1-1,WS-0 atm1-1,WS-0 atm1-1,WS-0 atm1-1,WS-0 atm1-1,WS-0 atm1-1,WS-0 WT,WS-0 WT,WS-0 atm1-1,WS-0 WT,WS-0 atm1-1,WS-0 atm1-1,WS-0 WT,WS-0 WT,WS-0 atm1-1,WS-0 WT,WS-0 atm1-1,WS-0 atm1-1,WS-0 WT,WS-0 WT,WS-0 atm1-1,WS-0 atm1-1,WS-0 WT,WS-0 atm1-1,WS-0 WT,WS-0 atm1-1,WS-0 WT,WS-0 WT,WS-0 atm1-1,WS-0 WT,WS-0 WT,WS-0 WT,WS-0 atm1-1,WS-0 WT,WS-0 atm1-1,WS-0 WT,WS-0 WT,WS-0 WT,WS-0 WT,WS-0 atm1-1,WS-0 WT,WS-0 WT,WS-0 WT,WS-0 WT
Radiation,GA6.0.,GA1.5.,HA1.5,HA12.0,HA24.0,GA1.5,GW12.0,HW12.0,GA6.0,GW6.0,GA12.0,GA24.0,HW12.0,GW3.0,HA24.0,GW12.0,GA24.0,HA1.5,HW6.0,HW1.5,UA,UA,GW24.0,UA.day.2,HW24.0,GA12.0,GW1.5,GW1.5,HA6.0,HW1.5,UW.day.2,HW3.0,HA12.0,HW3.0,HA6.0,HW6.0,HW24.0,GW6.0,UW,UA,UW,GW3.0,GW24.0,UW
Gravity,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial
Developmental,"5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully.","5 day old seedling, cotyledons opened fully."
Time.series.or.Concentration.gradient,1.5h-postIR,1.5h-postIR,12h-postIR,12h-postIR,24h-postIR,24h-postIR,6h-postIR,6h-postIR,NoIR,NoIR,NoIR,NoIR,1.5h-postIR,1.5h-postIR,12h-postIR,12h-postIR,24h-postIR,24h-postIR,6h-postIR,6h-postIR,1.5h-postIR,1.5h-postIR,12h-postIR,12h-postIR,24h-postIR,24h-postIR,3h-postIR,3h-postIR,6h-postIR,6h-postIR,NoIR,NoIR,NoIR,NoIR,1.5h-postIR,1.5h-postIR,12h-postIR,12h-postIR,24h-postIR,24h-postIR,3h-postIR,3h-postIR,6h-postIR,6h-postIR
Light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light,Cool white light
Assay..RNAseq.,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling
Temperature,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22,20-22
Treatment.type,HZE,HZE,HZE,HZE,HZE,HZE,HZE,HZE,control,control,control,control,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,HZE,HZE,HZE,HZE,HZE,HZE,HZE,HZE,HZE,HZE,control,control,control,control,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma
Treatment.intensity,GA6.0.,GA1.5.,HA1.5,HA12.0,HA24.0,GA1.5,GW12.0,HW12.0,GA6.0,GW6.0,GA12.0,GA24.0,HW12.0,GW3.0,HA24.0,GW12.0,GA24.0,HA1.5,HW6.0,HW1.5,UA,UA,GW24.0,UA.day.2,HW24.0,GA12.0,GW1.5,GW1.5,HA6.0,HW1.5,UW.day.2,HW3.0,HA12.0,HW3.0,HA6.0,HW6.0,HW24.0,GW6.0,UW,UA,UW,GW3.0,GW24.0,UW
Treament.timing,seedling_6h after Gamma irradiation_atm-1,seedling_1.5h after Gamma irradiation_atm-1,seedling_1.5h after HZE irradiation_atm-1,seedling_12h after HZE irradiation_atm-1,seedling_24h after HZE irradiation_atm-1,seedling_1.5h after Gamma irradiation_atm-1,seedling_12h after Gamma irradiation_WT,seedling_12h after HZE irradiation_WT,seedling_6h after Gamma irradiation_atm-1,seedling_6h after Gamma irradiation_WT,seedling_12h after Gamma irradiation_atm-1,seedling_24h after Gamma irradiation_atm-1,seedling_12h after HZE irradiation_WT,seedling_3h after Gamma irradiation_WT,seedling_24h after HZE irradiation_atm-1,seedling_12h after Gamma irradiation_WT,seedling_24h after Gamma irradiation_atm-1,seedling_1.5h after HZE irradiation_atm-1,seedling_6h after HZE irradiation_WT,seedling_1.5h after HZE irradiation_WT,seedling_day 1_unirradiated control_atm-1,seedling_day 1_unirradiated control_atm-1,seedling_24h after Gamma irradiation_WT,seedling_day 2_unirradiated control_atm-1,seedling_24h after HZE irradiation_WT,seedling_12h after Gamma irradiation_atm-1,seedling_1.5h after Gamma irradiation_WT,seedling_1.5h after Gamma irradiation_WT,seedling_6h after HZE irradiation_atm-1,seedling_1.5h after HZE irradiation_WT,seedling_day 2_unirradiated control_WT,seedling_3h after HZE irradiation_WT,seedling_12h after HZE irradiation_atm-1,seedling_3h after HZE irradiation_WT,seedling_6h after HZE irradiation_atm-1,seedling_6h after HZE irradiation_WT,seedling_24h after HZE irradiation_WT,seedling_6h after Gamma irradiation_WT,seedling_day 2_unirradiated control_WT,seedling_day 2_unirradiated control_atm-1,seedling_day 1_unirradiated control_WT,seedling_3h after Gamma irradiation_WT,seedling_24h after Gamma irradiation_WT,seedling_day 1_unirradiated control_WT
Preservation.Method.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
